total_net_assets,fund_year3_expense_projection,fund_year5_expense_projection,fund_year10_expense_projection,morningstar_return_rating,load_adj_return_3years,load_adj_return_5years,load_adj_return_10years,sustainability_score,sustainability_rank,esg_score
2979347456.0,968.0,1264.0,2105.0,3.0,0.0835,0.0707,0.0409,22.46,31.0,22.46
195348944.0,346.0,599.0,1326.0,3.0,0.1795,0.1448,0.1401,27.05,51.0,27.05
2078606848.0,786.0,1035.0,1748.0,4.0,0.2287,0.2269,0.1624,20.55,26.0,20.55
848319040.0,273.0,499.0,1148.0,4.0,0.1433,0.1357,0.1016,23.1,45.0,23.1
2979347456.0,645.0,1117.0,2421.0,3.0,0.0969,0.0752,0.0393,22.46,31.0,22.46
2979347456.0,524.0,923.0,2039.0,3.0,0.1021,0.0805,0.0448,22.46,31.0,22.46
848319040.0,492.0,872.0,1936.0,4.0,0.135,0.1275,0.0939,23.1,45.0,23.1
2979347456.0,362.0,634.0,1412.0,3.0,0.1068,0.0851,0.0488,22.46,31.0,22.46
848319040.0,226.0,418.0,971.0,4.0,0.1447,0.1373,0.1022,23.1,45.0,23.1
2979347456.0,313.0,548.0,1220.0,3.0,0.1081,0.0864,0.0503,22.46,31.0,22.46
2979347456.0,648.0,946.0,1792.0,4.0,0.0962,0.0782,0.045,22.46,31.0,22.46
3231860480.0,315.0,556.0,1248.0,3.0,0.11412,0.0933,0.0552,22.46,31.0,22.46
50360392.0,578.0,860.0,1663.0,3.0,0.098,0.088,0.0766,23.1,50.0,23.1
2734658816.0,539.0,928.0,2019.0,3.0,0.07963,0.08569,0.09288,22.97,46.0,22.97
194308976.0,322.0,558.0,1236.0,3.0,0.1052,0.1055,0.0903,24.77,88.0,24.77
5927616000.0,765.0,906.0,1316.0,3.0,0.0687,0.065,0.0663,23.86,90.0,23.86
50360392.0,646.0,1126.0,2453.0,2.0,0.0977,0.0847,0.071,23.1,50.0,23.1
171042768.0,1006.0,1340.0,2280.0,3.0,0.0704,0.1175,0.0583,27.46,29.0,27.46
217266464.0,302.0,527.0,1174.0,3.0,0.0978,0.1186,0.109,26.28,84.0,26.28
19010281472.0,771.0,916.0,1339.0,3.0,0.0729,0.0727,0.0728,23.8,88.0,23.8
1127792384.0,860.0,1087.0,1740.0,2.0,0.0872,0.0937,0.0731,24.25,69.0,24.25
194308976.0,221.0,384.0,859.0,4.0,0.108,0.1087,0.0937,24.77,88.0,24.77
1127792384.0,560.0,964.0,1897.0,2.0,0.0995,0.0979,0.0711,24.25,69.0,24.25
4294496512.0,202.0,351.0,786.0,3.0,0.1258,0.138,0.1165,24.71,79.0,24.71
1127792384.0,224.0,390.0,871.0,2.0,0.1114,0.1099,0.083,24.25,69.0,24.25
1127792384.0,406.0,702.0,1545.0,2.0,0.1051,0.1035,0.0766,24.25,69.0,24.25
32209674240.0,777.0,927.0,1362.0,4.0,0.0852,0.0873,0.084,23.45,69.0,23.45
1127792384.0,249.0,433.0,966.0,2.0,0.1105,0.1088,0.0818,24.25,69.0,24.25
40262536.0,1060.0,1542.0,2867.0,4.0,0.1414,0.1368,0.0515,24.98,27.0,24.98
2696573440.0,227.0,398.0,892.0,2.0,0.0464,0.078,0.047,22.7,65.0,22.7
1127792384.0,224.0,390.0,871.0,3.0,0.1116,0.1099,0.083,24.25,69.0,24.25
37326942208.0,783.0,937.0,1384.0,4.0,0.0958,0.103,0.0934,23.55,80.0,23.55
32130744320.0,786.0,942.0,1395.0,5.0,0.1126,0.1211,0.102,23.56,81.0,23.56
446501696.0,274.0,477.0,1061.0,5.0,0.2858,0.272,0.1728,22.5,81.0,22.5
4294496512.0,306.0,531.0,1178.0,3.0,0.1221,0.1342,0.1127,24.71,79.0,24.71
22250377216.0,792.0,953.0,1418.0,5.0,0.1236,0.1319,0.1077,23.56,81.0,23.56
2696573440.0,230.0,401.0,894.0,3.0,0.0459,0.0774,0.0467,22.7,65.0,22.7
2696573440.0,340.0,590.0,1306.0,3.0,0.0421,0.0737,0.0431,22.7,65.0,22.7
2696573440.0,381.0,660.0,1455.0,3.0,0.0409,0.0723,0.0417,22.7,65.0,22.7
4294496512.0,197.0,344.0,772.0,3.0,0.1264,0.1383,0.1167,24.71,79.0,24.71
19231168512.0,792.0,953.0,1418.0,5.0,0.1255,0.1338,0.1086,23.51,78.0,23.51
4055635.0,944.0,2358.0,5678.0,5.0,0.2602,0.2725,0.1646,26.26,84.0,26.26
11515719680.0,795.0,958.0,1429.0,5.0,0.1255,0.1339,0.1086,23.5,77.0,23.5
